storename,storecontract,storeid,storeaddress,storecity,storestate,storezip,storecountry,storephone,latlonlocation,latlonlocationdv
SOUTHERN AUTO PARTS,CarQuest,1002018,2548 ONSLOW DRIVE,JACKSONVILLE,NC,28540,USA,9104551300,"34.7643062459565,-77.4189289817189","34.7643062459565,-77.4189289817189"
ALL MOTOR PARTS AND SUPPLY,CarQuest,1000495,152 STOVER ROAD,LOS LUNAS,NM,87031,USA,5058654686,"34.8091869396429,-106.698309069932","34.8091869396429,-106.698309069932"
HARWELL PARTS AND SUPPLY CO.,CarQuest,1001521,1102 W QUITMAN,IUKA,MS,38852,USA,6624239892,"34.81115,-88.20002","34.81115,-88.20002"
ACE AUTO PARTS,CarQuest,1000477,1679 EAST MAIN STREET,EASLEY,SC,29640,USA,8648592222,"34.82905,-82.5725","34.82905,-82.5725"
LINDSAY AUTO AND TRUCK SUPPLY IN,CarQuest,1001700,101 NE 2ND STREET,LINDSAY,OK,73052,USA,4057564351,"34.83715,-97.60171","34.83715,-97.60171"
CARQUEST,CarQuest,1000704,706-835-1278,BLAIRSVILLE,GA,30512,USA,7068351278,"34.873363494873,-83.9575653076172","34.873363494873,-83.9575653076172"
CARQUEST,CarQuest,1000735,201 E HOPI,HOLBROOK,AZ,86025,USA,9285246868,"34.90117,-110.15746","34.90117,-110.15746"
Advance Auto Parts,CarQuest,1000052,1209 EAST MAIN STREET,ROCK HILL,SC,29730,USA,8033280115,"34.9157705890909,-81.0031561733734","34.9157705890909,-81.0031561733734"
MILLER AUTO SUPPLY,CarQuest,1001765,106 E. MAIN STREET,BEULAVILLE,NC,28518,USA,9102986599,"34.9216900071912,-77.7617949975782","34.9216900071912,-77.7617949975782"
JENKINS AUTOMOTIVE & INDUSTRIAL,CarQuest,1001608,916 LONG DRIVE,ROCKINGHAM,NC,28379,USA,9108959071,"34.9242899928355,-79.7540449854792","34.9242899928355,-79.7540449854792"
ROUTE 66 AUTO SUPPLY INC,CarQuest,1001972,1057 HISTORIC ROUTE 66,SANTA ROSA,NM,88435,USA,5754725314,"34.9444744866703,-104.677319944292","34.9444744866703,-104.677319944292"
Advance Auto Parts,CarQuest,1000290,300 WEST MAIN STREET,SPARTANBURG,SC,29306,USA,8645837251,"34.94834,-81.93701","34.94834,-81.93701"
CARQUEST,CarQuest,1000734,238 NORTH MAIN STREET,HIAWASSEE,GA,30546,USA,7068960598,"34.9574300003942,-83.7606199944115","34.9574300003942,-83.7606199944115"
Advance Auto Parts,CarQuest,1000216,6830 GOODMAN ROAD,OLIVE BRANCH,MS,38654,USA,6628952020,"34.9623099895933,-89.7992749999857","34.9623099895933,-89.7992749999857"
Advance Auto Parts,CarQuest,1000367,7339 AIRWAYS,SOUTHAVEN,MS,38671,USA,6623491234,"34.9667850328839,-89.9890299997043","34.9667850328839,-89.9890299997043"
Advance Auto Parts,CarQuest,1001577,7339 AIRWAYS BLVD,SOUTHAVEN,MS,,USA,,"34.9673064868378,-89.9899548714732","34.9673064868378,-89.9899548714732"
KENS PARTS SUPPLY,CarQuest,1001641,10653 HWY 64 EAST,LEXINGTON,AL,35648,USA,2562296647,"34.9716250368011,-87.3609899985564","34.9716250368011,-87.3609899985564"
CARQUEST,CarQuest,1001219,416  NO. BROADWAY,SANTA MARIA,CA,93454,USA,8059258691,"34.9785790858594,-120.434990630444","34.9785790858594,-120.434990630444"
CARQUEST,CarQuest,1001220,2150  SO.BROADWAY,SANTA  MARIA,CA,93454,USA,8059224591,"34.9785790858594,-120.434990630444","34.9785790858594,-120.434990630444"
M AND H AUTO PARTS,CarQuest,1001720,2588 HOPE MILLS ROAD,FAYETTEVILLE,NC,28306,USA,9104245324,"34.9947800000016,-78.9678000000415","34.9947800000016,-78.9678000000415"
FORT MOHAVE CARQUEST,CarQuest,1001456,1517 AZTEC ROAD,FORT MOHAVE,AZ,86426,USA,9287049222,"35.018329,-114.596892","35.018329,-114.596892"
BLUEBERRY HEEL INVESTMENTS LLC,CarQuest,1000593,1524 HOBBTON HIGHWAY,CLINTON,NC,28328,USA,9105921444,"35.0209500000016,-78.3270199998875","35.0209500000016,-78.3270199998875"
BY PASS AUTO PARTS,CarQuest,1000624,92 HWY 64 WEST,HAYESVILLE,NC,28904,USA,8283896318,"35.0349491309851,-83.8254846877259","35.0349491309851,-83.8254846877259"
CARQUEST,CarQuest,1000998,1931 ROSSVILLE AVENUE,CHATTANOOGA,TN,37408,USA,4237568801,"35.0350869222564,-85.3052725268316","35.0350869222564,-85.3052725268316"
CARQUEST,CarQuest,1001242,532 MCPHERSON CHURCH RD,FAYETTEVILLE,NC,28303,USA,9107642235,"35.0563983815664,-78.9454568123559","35.0563983815664,-78.9454568123559"
"TRENTON AUTO PARTS, INC.",CarQuest,1002091,354 W. JONES STREET,TRENTON,NC,28585,USA,2524487681,"35.06594,-77.36161","35.06594,-77.36161"
QUICK SALES,CarQuest,1001920,KINSTON BLVD,PINK HILL,NC,28572,USA,2525684450,"35.0661950001481,-77.7382700010358","35.0661950001481,-77.7382700010358"
Advance Auto Parts,CarQuest,1000341,10026 CENTRAL AVE SE,ALBUQUERQUE,NM,87123,USA,5052981809,"35.07223,-106.53642","35.07223,-106.53642"
Advance Auto Parts,CarQuest,1000342,4910 CENTRAL AVE SE,ALBUQUERQUE,NM,87108,USA,5052665522,"35.07805,-106.58967","35.07805,-106.58967"
CARQUEST,CarQuest,1001089,"1202 U.S. HWY 70, EAST",NEW BERN,NC,28560,USA,2526376108,"35.0832295739659,-77.0319617462587","35.0832295739659,-77.0319617462587"
MURPHY AUTO PARTS,CarQuest,1001805,42 TENNESEE STREET,MURPHY,NC,28906,USA,8288378121,"35.0912518784815,-84.0378523596715","35.0912518784815,-84.0378523596715"
Advance Auto Parts,CarQuest,1000051,1445 STALLINGS RD,MATTHEWS,NC,28104,USA,7048212997,"35.09604,-80.67912","35.09604,-80.67912"
Advance Auto Parts,CarQuest,1000211,1901 S. GLENBERNIE ROAD,NEW BERN,NC,28562,USA,2526381145,"35.10543,-77.09937","35.10543,-77.09937"
KRESS AUTO PARTS,CarQuest,1001663,129 NORTH MILITARY,LORETTO,TN,38469,USA,9318534321,"35.1119557177684,-87.4045521554461","35.1119557177684,-87.4045521554461"
Advance Auto Parts,CarQuest,1000340,2801 4TH ST,ALBUQUERQUE,NM,87107,USA,5053005820,"35.11292,-106.64649","35.11292,-106.64649"
Advance Auto Parts,CarQuest,1000343,2807 SAN MATEO BLVD NE,ALBUQUERQUE,NM,87109,USA,5058814445,"35.11308,-106.5867","35.11308,-106.5867"
CARQUEST,CarQuest,1000944,1215  EAST GRAND  AVE,ARROYO GRANDE,CA,93420,USA,8054895574,"35.1205255274568,-120.601195006906","35.1205255274568,-120.601195006906"
CARQUEST,CarQuest,1000930,11600 FRUEHAUF DRIVE,CHARLOTTE,NC,28273,USA,7045886104,"35.12917,-80.96026","35.12917,-80.96026"
CARQUEST,CarQuest,1001257,617   6TH  STREET,TAFT,CA,93268,USA,6617634102,"35.1409950001643,-119.460660001044","35.1409950001643,-119.460660001044"
Advance Auto Parts,CarQuest,1000173,113 W BROADWAY,WEST MEMPHIS,AR,72301,USA,8707325041,"35.1464300000371,-90.136705","35.1464300000371,-90.136705"
TURNER AUTO PARTS,CarQuest,1002101,370 NW CENTER STREET,FAISON,NC,28341,USA,9102670621,"35.1546949730321,-78.1046449615121","35.1546949730321,-78.1046449615121"
CARQUEST,CarQuest,1001002,165 FIRST ST SW,CLEVELAND,TN,37311,USA,4234721555,"35.1588199790929,-84.8768200144008","35.1588199790929,-84.8768200144008"
Advance Auto Parts,CarQuest,1000371,4001 HAWKINS NE,ALBUQUERQUE,NM,87109,USA,5053431234,"35.16358,-106.59877","35.16358,-106.59877"
CARQUEST,CarQuest,1001034,2177 COVINGTON PIKE,MEMPHIS,TN,38128,USA,9192775100,"35.1735286210821,-89.8979812929123","35.1735286210821,-89.8979812929123"
COLLINWOOD AUTO PARTS,CarQuest,1000879,101 E BROADWAY ST,COLLINWOOD,TN,38450,USA,9317249104,"35.17454,-87.73895","35.17454,-87.73895"
RSR AUTO PARTS,CarQuest,1001975,521 DEPOT STREET,FRANKLIN,NC,28734,USA,8285243777,"35.1823759754276,-83.3727317826525","35.1823759754276,-83.3727317826525"
KINGMAN CARQUEST,CarQuest,1001649,2115 N. STOCKTON HILL ROAD,KINGMAN,AZ,86401,USA,9287535571,"35.1950022936088,-114.032588700245","35.1950022936088,-114.032588700245"
ANDREWS AUTO PARTS,CarQuest,1000504,PO BOX 1206,ANDREWS,NC,28901,USA,8283214181,"35.1955871582031,-83.8322677612305","35.1955871582031,-83.8322677612305"
Advance Auto Parts,CarQuest,1000438,6989 STAGE ROAD,BARTLETT,TN,38133,USA,9013738464,"35.2054200000371,-89.8345849999883","35.2054200000371,-89.8345849999883"
CLIFF S AUTO AND TRACTOR,CarQuest,1000872,120 BLOCK STREET,MARION,AR,72364,USA,8707394458,"35.2123550000695,-90.2054299996878","35.2123550000695,-90.2054299996878"
Advance Auto Parts,CarQuest,1000344,10810 UNSER BOULEVARD NW,ALBUQUERQUE,NM,87114,USA,5058999099,"35.213977,-106.697163","35.213977,-106.697163"
PARROTT'S DISCOUNT AUTO PARTS,CarQuest,1001848,353 EAST MAIN STREET,ADAMSVILLE,TN,38310,USA,7316323288,"35.2329381646572,-88.3722037852061","35.2329381646572,-88.3722037852061"
TEXAS AUTO SUPPLY INC.,CarQuest,1002072,P.O. BOX 16,VEGA,TX,79092,USA,8062672743,"35.2425003051758,-102.428436279297","35.2425003051758,-102.428436279297"
WILLIAMS AUTO SUPPLY,CarQuest,1002152,810 E. ROUTE 66,WILLIAMS,AZ,86046,USA,9286354484,"35.2511099767306,-112.186534989408","35.2511099767306,-112.186534989408"
Advance Auto Parts,CarQuest,1000262,4350 RIDGECREST DRIVE STE A1,RIO RANCHO,NM,87124,USA,5058913429,"35.252766,-106.649571","35.252766,-106.649571"
COLUMBUS AUTO PARTS,CarQuest,1000881,291 E. MILLS ST,COLUMBUS,NC,28722,USA,8288943064,"35.2540689554561,-82.1962325204664","35.2540689554561,-82.1962325204664"
NORTH AMARILLO AUTO PARTS,CarQuest,1001820,6400 RIVER ROAD,AMARILLO,TX,79108,USA,8063812288,"35.2640599998364,-101.831315044051","35.2640599998364,-101.831315044051"
LIGHTHOUSE AUTO PARTS,CarQuest,1001698,HIGHWAY 12,BUXTON,NC,27920,USA,2529954955,"35.2652750097819,-75.5288699951514","35.2652750097819,-75.5288699951514"
CARQUEST,CarQuest,1001102,10213 MAIN STREET,LAMONT,CA,93241,USA,6618450771,"35.265780028733,-118.91449","35.265780028733,-118.91449"
CARQUEST,CarQuest,1001096,809 MITCHELL STREET,KINSTON,NC,28501,USA,2525271134,"35.2659250003326,-77.5843200134855","35.2659250003326,-77.5843200134855"
BROOKS AUTO SERVICE,CarQuest,1000611,1435 TATE ROAD,BOLIVAR,TN,38008,USA,7316585138,"35.26644,-89.00927","35.26644,-89.00927"
Advance Auto Parts,CarQuest,1000352,3714 STATESVILLE AVENUE,CHARLOTTE,NC,28206,USA,7043769433,"35.26932,-80.83715","35.26932,-80.83715"
SHELBY AUTO PLUS,CarQuest,1002004,409 N. WASHINGTON STREET,SHELBY,NC,28150,USA,7044822468,"35.3003100013495,-81.5379450248461","35.3003100013495,-81.5379450248461"
"ROBBINSVILLE AUTO PARTS, INC.",CarQuest,1001964,379 BYPASS US 129,ROBBINSVILLE,NC,28771,USA,8284790500,"35.3158639495962,-83.8001959570187","35.3158639495962,-83.8001959570187"
TRACTOR AND AUTO SUPPLY,CarQuest,1002090,102 CAROLINA DRIVE,DUNN,NC,28334,USA,9108926141,"35.3172017696151,-78.5852758219484","35.3172017696151,-78.5852758219484"
